Mô tả vấn đề,Loại vấn đề,Nguồn,Lời khuyên,Loài,Hướng dẫn chăm sóc
Chuột lang có phân mềm bám vào hậu môn.,Rối loạn tiêu hóa,Quan sát của chủ nuôi,"Ngừng cho ăn trong 12 giờ, cung cấp nước từng ngụm nhỏ; đưa đến bác sĩ thú y nếu nôn mửa kéo dài.",Chuột lang,"Giữ chuột lang ở khu vực mát mẻ, sạch sẽ; khuyến khích uống nước; liên hệ bác sĩ thú y nếu không cải thiện."
Kê đơn corticosteroid đường uống ngắn ngày (prednisone) cho viêm/ngứa nghiêm trọng.,Kích ứng da,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Chó thỉnh thoảng nhảy bước hoặc hai bước trên chân sau khi chạy bộ.,Vấn đề di chuyển,Quan sát của chủ nuôi,"Giữ mèo ở khu vực mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Chó,"Giữ chó bình tĩnh, an toàn; quan sát và liên hệ với bác sĩ thú y."
Lên lịch kiểm tra phân lại sau 3-4 tuần điều trị tẩy giun.,Ký sinh trùng,Ghi chú lâm sàng,"Cách ly mèo, vệ sinh khay phân và lên lịch tẩy giun với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Thiếu hụt enzym tụy ngoại tiết (EPI) được xác nhận bằng mức TLI thấp. Kê đơn bổ sung enzym tụy.,Rối loạn tiêu hóa,Ghi chú lâm sàng,"Ngừng cho ăn trong 12 giờ, cung cấp nước từng ngụm nhỏ; đưa đến bác sĩ thú y nếu nôn mửa kéo dài.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
"Hướng dẫn chủ nuôi theo dõi khẩu vị, nôn mửa, độ đặc phân, và mức độ hoạt động.",Rối loạn tiêu hóa,Ghi chú lâm sàng,"Ngừng cho ăn trong 12 giờ, cung cấp nước từng ngụm nhỏ; đưa đến bác sĩ thú y nếu nôn mửa kéo dài.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Tai chó nhạy cảm và có mùi như nấm men.,Nhiễm trùng tai,Quan sát của chủ nuôi,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Chó,"Giữ chó bình tĩnh, an toàn; quan sát và liên hệ với bác sĩ thú y."
Chó có phát ban trên bụng trông như vết côn trùng cắn.,Kích ứng da,Quan sát của chủ nuôi,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Chó,Ngăn chó liếm; làm sạch bằng chất khử trùng nhẹ; tham khảo bác sĩ thú y nếu tình trạng xấu đi.
Khuyến nghị xét nghiệm Tritrichomonas foetus cho tiêu chảy mãn tính ở mèo.,Rối loạn tiêu hóa,Ghi chú lâm sàng,"Ngừng cho ăn trong 12 giờ, cung cấp nước từng ngụm nhỏ; đưa đến bác sĩ thú y nếu nôn mửa kéo dài.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Thỏ ép bụng xuống sàn.,Rối loạn tiêu hóa,Quan sát của chủ nuôi,"Ngừng cho ăn trong 12 giờ, cung cấp nước từng ngụm nhỏ; đưa đến bác sĩ thú y nếu nôn mửa kéo dài.",Thỏ,"Giữ thỏ ấm áp, yên tĩnh; tránh cầm nắm quá nhiều; tham khảo ý kiến bác sĩ thú y chuyên về động vật ngoại lai ngay lập tức."
Ly tâm phân với dung dịch kẽm sunfat để thu hồi tối ưu trứng ký sinh trùng.,Ký sinh trùng,Ghi chú lâm sàng,"Cách ly mèo, vệ sinh khay phân và lên lịch tẩy giun với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Cân nhắc xét nghiệm dị ứng môi trường (huyết thanh hoặc trong da).,Kích ứng da,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Cung cấp kế hoạch có cấu trúc để tăng dần hoạt động sau thời gian lành bệnh.,Vấn đề di chuyển,Ghi chú lâm sàng,"Giữ mèo ở khu vực mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Điều trị Otodectes bằng thuốc diệt ve bôi (ví dụ: Acarexx) hoặc isoxazoline toàn thân. Đảm bảo điều trị tất cả động vật tiếp xúc.,Nhiễm trùng tai,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Chó của tôi trượt trên sàn và khập khiễng kể từ đó.,Vấn đề di chuyển,Quan sát của chủ nuôi,"Giữ mèo ở khu vực mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Chó,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
